date,pm25,pm10,o3,no2,so2,co,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,precipitation_sum
27-12-2021,150,69,14,4,,1,"Siddharth Nagar Worli, Mumbai",28.7,19,23.2,75,15.8,9.1,351,1014.1,0
28-12-2021,146,53,28,4,,2,"Siddharth Nagar Worli, Mumbai",27.7,19.1,23.1,76,22.7,11.1,341,1013.5,0
29-12-2021,111,70,10,4,,4,"Siddharth Nagar Worli, Mumbai",27.4,20,23,69,22,14.9,353,1013.8,0
30-12-2021,143,73,11,10,,5,"Siddharth Nagar Worli, Mumbai",29.9,19.1,23.5,69,23,11.6,8,1014.5,0
31-12-2021,147,65,11,8,,6,"Siddharth Nagar Worli, Mumbai",31.1,21.5,25,68,18.4,12.1,29,1015.3,0
01-01-2022,132,22,15,7,,5,"Siddharth Nagar Worli, Mumbai",31,20.7,24.9,68,17,10.9,20,1015.8,0
02-01-2022,48,39,17,6,,6,"Siddharth Nagar Worli, Mumbai",30.1,21.2,24.9,68,15.8,9.3,4,1014.5,0
03-01-2022,80,70,33,16,,6,"Siddharth Nagar Worli, Mumbai",30.4,21.7,25,71,16.6,8.8,357,1013.9,0
04-01-2022,145,91,20,7,,6,"Siddharth Nagar Worli, Mumbai",31,21.1,24.9,74,16.9,8.3,355,1013.9,0
05-01-2022,156,63,23,16,,4,"Siddharth Nagar Worli, Mumbai",27.8,21,24.3,80,18.9,8.2,326,1013.5,0
06-01-2022,124,81,27,16,,5,"Siddharth Nagar Worli, Mumbai",27.6,21,23.8,81,18.4,9.7,341,1013,0
07-01-2022,152,49,14,6,,4,"Siddharth Nagar Worli, Mumbai",26.7,19.7,23.4,80,17.3,7.4,295,1012.5,0
08-01-2022,108,30,14,6,,3,"Siddharth Nagar Worli, Mumbai",24.3,21.4,22.6,86,12.3,7.3,6,1013.8,3.7
09-01-2022,67,38,25,7,,3,"Siddharth Nagar Worli, Mumbai",25.4,19.6,22,60,24.1,15.5,346,1013.8,0
10-01-2022,82,61,20,6,,5,"Siddharth Nagar Worli, Mumbai",24.2,17.1,20.1,58,24.9,14.2,349,1014,0
11-01-2022,124,55,19,5,,4,"Siddharth Nagar Worli, Mumbai",24.2,16,20.1,73,16.1,8.8,344,1013.5,0
12-01-2022,113,65,22,4,,5,"Siddharth Nagar Worli, Mumbai",24.7,17.5,21,70,21.4,12.6,345,1013.1,0
13-01-2022,138,70,23,4,,6,"Siddharth Nagar Worli, Mumbai",25.4,17,21,74,17.5,7.8,337,1012.3,0
14-01-2022,143,67,25,18,,5,"Siddharth Nagar Worli, Mumbai",25.5,18.1,21.9,77,17.7,8.9,340,1012.3,0
15-01-2022,135,62,14,4,,5,"Siddharth Nagar Worli, Mumbai",28.6,18.7,22.7,70,23.8,11.7,2,1012.8,0
16-01-2022,125,60,11,4,,5,"Siddharth Nagar Worli, Mumbai",31.2,19.5,24.3,62,21.7,11.9,30,1013.1,0
17-01-2022,122,64,17,4,,5,"Siddharth Nagar Worli, Mumbai",30.4,20.5,24.6,67,17.4,10.7,359,1015,0
18-01-2022,132,65,52,18,,6,"Siddharth Nagar Worli, Mumbai",28.7,20.6,24.1,69,20.1,11.5,346,1014.8,0
19-01-2022,136,47,21,7,,4,"Siddharth Nagar Worli, Mumbai",28.4,19.6,23.6,71,18.2,10.3,340,1013.4,0
20-01-2022,99,34,8,10,,4,"Siddharth Nagar Worli, Mumbai",27.1,19.5,22.9,70,17.2,10.3,329,1011.9,0
21-01-2022,76,38,15,7,,4,"Siddharth Nagar Worli, Mumbai",26.8,19.7,22.7,84,16.3,8.3,337,1011.7,0
22-01-2022,84,85,18,10,,2,"Siddharth Nagar Worli, Mumbai",26.4,20.5,23.6,81,22.7,13,273,1010.3,1.9
23-01-2022,304,146,37,16,,3,"Siddharth Nagar Worli, Mumbai",23.7,18.9,21.9,60,23.2,18.8,316,1011.5,0.4
24-01-2022,210,116,23,9,,5,"Siddharth Nagar Worli, Mumbai",24,15.8,19.6,57,27.5,14.5,1,1012.5,0
25-01-2022,182,102,37,6,,5,"Siddharth Nagar Worli, Mumbai",25.1,15.2,20,58,20.5,12.8,352,1012.1,0
26-01-2022,176,80,18,4,,6,"Siddharth Nagar Worli, Mumbai",26.9,16.6,21.1,59,22.2,13.1,352,1011.9,0
27-01-2022,157,70,14,4,,5,"Siddharth Nagar Worli, Mumbai",29,17.5,22.2,60,24.6,10.7,357,1012.1,0
28-01-2022,151,65,14,4,,4,"Siddharth Nagar Worli, Mumbai",30.4,19,23.7,51,20.7,13.5,17,1013,0
29-01-2022,140,67,18,4,,6,"Siddharth Nagar Worli, Mumbai",30.8,17.5,23.2,56,20.8,11.2,5,1014,0
30-01-2022,143,66,45,4,,6,"Siddharth Nagar Worli, Mumbai",29.2,17.2,22.6,60,18.6,9.7,342,1012.8,0
31-01-2022,139,59,33,4,,5,"Siddharth Nagar Worli, Mumbai",28.5,18.1,22.5,60,19.6,11,340,1012,0
01-02-2022,127,75,29.66666667,8,,4.333333333,"Siddharth Nagar Worli, Mumbai",29,16.8,21.8,69,22.2,12.3,341,1011.2,0
03-02-2022,161,107,23,16,,3,"Siddharth Nagar Worli, Mumbai",25.6,18.2,22.1,85,14,7.8,262,1011.3,0
04-02-2022,178,91.33333333,24.33333333,12,,3.333333333,"Siddharth Nagar Worli, Mumbai",25.3,19.1,22.4,76,14.3,8,291,1011,0
06-02-2022,146,60,27,4,,4,"Siddharth Nagar Worli, Mumbai",26.8,18.3,22.1,71,22.1,11.2,323,1013.1,0
07-02-2022,130,40,26,19,,4,"Siddharth Nagar Worli, Mumbai",25.8,18.9,21.9,81,23.5,11.9,330,1014.4,0
08-02-2022,83,49,20,5,,4,"Siddharth Nagar Worli, Mumbai",25.4,18.8,21.9,80,19,10.5,324,1013.6,0
09-02-2022,105,66,21,5,,6,"Siddharth Nagar Worli, Mumbai",26.2,18.6,22,79,20.9,12,343,1013.2,0
10-02-2022,141,74,15,4,,6,"Siddharth Nagar Worli, Mumbai",29.6,19,23.6,58,26.7,13.8,342,1012.4,0
11-02-2022,144,64,17,6,,6,"Siddharth Nagar Worli, Mumbai",32.1,20.7,25.3,50,26.8,15,2,1011.8,0
12-02-2022,132,62,34,4,,6,"Siddharth Nagar Worli, Mumbai",29.9,20.1,24.3,54,22.8,12.2,340,1011.6,0
13-02-2022,127,54,26,17,,7,"Siddharth Nagar Worli, Mumbai",29.6,19,23.7,62,22.3,11.4,334,1010.1,0
14-02-2022,113,42,30,17,,5,"Siddharth Nagar Worli, Mumbai",28.8,19.2,23.8,55,22.2,12.9,343,1010.6,0
15-02-2022,82,22,9,5,,4,"Siddharth Nagar Worli, Mumbai",27,19.7,23.1,65,19.9,12,333,1010.8,0
16-02-2022,57,34,9,4,,5,"Siddharth Nagar Worli, Mumbai",26.1,19.3,22.4,80,19.2,10.2,331,1009.3,0
17-02-2022,77,46,13,6,,6,"Siddharth Nagar Worli, Mumbai",26.4,18.1,22,81,15.2,7.6,322,1008.1,0
18-02-2022,96,67,25,5,,6,"Siddharth Nagar Worli, Mumbai",27.1,19,23.2,78,17,7.9,284,1009,0
19-02-2022,139,67,37,18,,6,"Siddharth Nagar Worli, Mumbai",28.8,19.1,23.7,75,20.3,10.7,324,1011,0
20-02-2022,140,77,48,4,,7,"Siddharth Nagar Worli, Mumbai",30.4,20.1,24.4,64,22.9,12.2,335,1010.8,0
21-02-2022,154,73,12,4,,6,"Siddharth Nagar Worli, Mumbai",30.4,18.7,23.9,57,25.6,13.1,334,1010,0
22-02-2022,138,66,18,4,,8,"Siddharth Nagar Worli, Mumbai",29.2,18.7,23.5,68,23.4,11,330,1010.9,0
23-02-2022,138,83,55,4,,7,"Siddharth Nagar Worli, Mumbai",29.3,18.9,24.1,67,21,11.7,334,1012.2,0
24-02-2022,162,118,67,4,,8,"Siddharth Nagar Worli, Mumbai",29.3,21.1,25.3,62,23.1,11.9,323,1013.6,0
25-02-2022,186,100,32,4,,7,"Siddharth Nagar Worli, Mumbai",29.9,21.1,25.2,58,26,12.7,322,1012.9,0
26-02-2022,174,88,28,4,,6,"Siddharth Nagar Worli, Mumbai",29.9,20.5,24.7,64,24.8,13.2,331,1012.8,0
27-02-2022,166,99,30,4,,8,"Siddharth Nagar Worli, Mumbai",30.1,20.3,25.1,56,25.8,13.2,328,1013,0
28-02-2022,172,91,56,5,,7,"Siddharth Nagar Worli, Mumbai",31.1,19.9,25.3,53,25.3,12.2,330,1012.5,0
01-03-2022,167,96,20,19,,8,"Siddharth Nagar Worli, Mumbai",31.2,20.4,25.6,54,22.7,12.1,335,1012.5,0
02-03-2022,169,97,23,4,,9,"Siddharth Nagar Worli, Mumbai",33.2,22.1,26.9,52,25.9,12.4,334,1011.5,0
03-03-2022,170,83,21,5,,7,"Siddharth Nagar Worli, Mumbai",34.4,22.1,27.6,46,27.6,15.9,341,1011.3,0
04-03-2022,160,90,42,18,,7,"Siddharth Nagar Worli, Mumbai",33.7,23.8,27.5,41,28.1,17.2,342,1011.8,0
05-03-2022,166,90,21,4,,10,"Siddharth Nagar Worli, Mumbai",33,21.4,26.3,53,25.8,12.1,331,1010.8,0
06-03-2022,165,77,17,4,,8,"Siddharth Nagar Worli, Mumbai",32.7,22.5,27.1,53,23.1,11.4,322,1009.8,0
07-03-2022,154,91,14,4,,8,"Siddharth Nagar Worli, Mumbai",31.2,24.5,27.5,56,19.5,11.1,320,1010.1,0
08-03-2022,162,104,39,5,,11,"Siddharth Nagar Worli, Mumbai",35.9,25.1,28.8,54,25.2,14.2,352,1010,0
09-03-2022,175,92,29,4,,10,"Siddharth Nagar Worli, Mumbai",33,24.5,28.2,57,18.4,10.8,337,1010.1,0
10-03-2022,165,93,37,4,,10,"Siddharth Nagar Worli, Mumbai",33.3,23.4,27.8,58,22.2,11.2,342,1009.8,0
11-03-2022,167,54,52,4,,8,"Siddharth Nagar Worli, Mumbai",32.2,23.5,28.3,52,19.3,10.5,327,1009.6,0
12-03-2022,105,62,26,18,,9,"Siddharth Nagar Worli, Mumbai",35.5,22.9,28.1,57,22.6,10.3,317,1009.2,0
13-03-2022,124,61,43,5,,8,"Siddharth Nagar Worli, Mumbai",35.5,22.6,28.7,52,27,13.8,338,1009.4,0
14-03-2022,121,72,22,4,,9,"Siddharth Nagar Worli, Mumbai",35,22.1,28.8,41,25.8,12.9,338,1009.8,0
15-03-2022,139,69,22,4,,7,"Siddharth Nagar Worli, Mumbai",34.4,22.8,29.1,47,25.1,14,333,1008.5,0
16-03-2022,130,59,39,18,,7,"Siddharth Nagar Worli, Mumbai",34,23.4,29.3,49,28.4,14.8,335,1007.2,0
17-03-2022,111,59,36,4,,9,"Siddharth Nagar Worli, Mumbai",32.9,23.8,29.2,50,25.6,13.1,313,1006.3,0
18-03-2022,119,53,9,3,,7,"Siddharth Nagar Worli, Mumbai",33.8,23.3,29,58,29.9,15.1,322,1006,0
19-03-2022,102,54,15,18,,6,"Siddharth Nagar Worli, Mumbai",31,24,27.6,74,20.2,10.3,255,1006.4,0
20-03-2022,111,82,19,18,,7,"Siddharth Nagar Worli, Mumbai",30.1,24.1,27.1,78,31.1,11.1,268,1007.1,0
21-03-2022,153,70,18,4,,8,"Siddharth Nagar Worli, Mumbai",30,22.8,26.7,76,27.5,12,319,1007.9,0
22-03-2022,139,64,14,4,,6,"Siddharth Nagar Worli, Mumbai",34,24,29.3,49,30.6,15.5,337,1007.2,0
23-03-2022,130,65,15.33333333,4,,6.166666667,"Siddharth Nagar Worli, Mumbai",37.4,26.3,30.5,35,31.4,16.6,342,1006.3,0
28-03-2022,126.6666667,70,22,4,,7,"Siddharth Nagar Worli, Mumbai",31.5,24.3,27.6,82,22.8,10.8,295,1009.9,0
29-03-2022,126,35,13,4,,7,"Siddharth Nagar Worli, Mumbai",32.6,23.5,28.2,70,23.2,12.7,313,1008.5,0
30-03-2022,76,72,11,4,,7,"Siddharth Nagar Worli, Mumbai",32.9,23.9,28.1,70,22.7,11,317,1008.3,0
31-03-2022,107,61,17,4,,7,"Siddharth Nagar Worli, Mumbai",31.2,22.7,26.7,75,19,9.1,309,1009.1,0
01-04-2022,130,60,9,19,,7,"Siddharth Nagar Worli, Mumbai",32,22.5,26.6,78,22.1,10.2,307,1009.1,0
02-04-2022,127,48,18,4,,8,"Siddharth Nagar Worli, Mumbai",30.2,23.3,27,79,21.4,8.3,267,1010,0
03-04-2022,103,43,18,19,,8,"Siddharth Nagar Worli, Mumbai",30.8,23.5,27.3,80,25,10.3,291,1009.3,0.1
04-04-2022,95,57,21,4,,6,"Siddharth Nagar Worli, Mumbai",31,24.7,27.9,82,26.1,10.5,272,1009.6,0
05-04-2022,99,37,21,4,,5,"Siddharth Nagar Worli, Mumbai",31.4,25,28.2,82,25.8,11,273,1011.3,0
06-04-2022,78,39,28,19,,6,"Siddharth Nagar Worli, Mumbai",31.2,25.1,28.1,81,22.1,11.2,262,1011.6,0
07-04-2022,89,36,25,18,,6,"Siddharth Nagar Worli, Mumbai",31.6,25.2,28.3,81,21,9.4,263,1010.3,0
08-04-2022,78,39,21,4,,6,"Siddharth Nagar Worli, Mumbai",32,24.3,28.3,81,23.9,11.3,239,1008.7,0
09-04-2022,82,37,11,19,,5,"Siddharth Nagar Worli, Mumbai",31.1,26.3,28.5,82,19.6,11.4,219,1008.5,0
10-04-2022,73,52,25,4,,5,"Siddharth Nagar Worli, Mumbai",31.7,26.1,28.7,75,21.7,11,251,1008.5,0
11-04-2022,95,31,17,4,,6,"Siddharth Nagar Worli, Mumbai",31.4,26,28.6,75,26.4,9.9,282,1007.6,0
12-04-2022,71,45,22,4,,7,"Siddharth Nagar Worli, Mumbai",32.7,24.8,28.6,75,25.6,12.3,319,1006.2,0
13-04-2022,92,34,13,19,,6,"Siddharth Nagar Worli, Mumbai",34.2,24.5,29.3,69,26.5,13.2,323,1005.4,0
14-04-2022,71,47,21,4,,7,"Siddharth Nagar Worli, Mumbai",31.4,25.3,28.6,78,20.1,10.8,274,1006.5,0
15-04-2022,97,41.66666667,21.66666667,4,,6.333333333,"Siddharth Nagar Worli, Mumbai",31.3,25.4,28.4,76,20.8,9.6,260,1007.3,0
17-04-2022,74.33333333,31,23,4,,5,"Siddharth Nagar Worli, Mumbai",31.1,24.6,27.9,76,21.9,10.9,259,1007.4,0.1
18-04-2022,63,40,11,4,,6,"Siddharth Nagar Worli, Mumbai",30.9,25.3,28.2,75,25.3,9.9,279,1009.5,0
19-04-2022,84,29,10,4,,6,"Siddharth Nagar Worli, Mumbai",31.5,24.8,28.2,78,25.1,12,306,1010.8,0
20-04-2022,67,30.44444444,10,4,,6.111111111,"Siddharth Nagar Worli, Mumbai",32.5,25.9,29.3,76,25.3,13.8,323,1008.5,0
28-04-2022,87.44444444,42,10,4,,7,"Siddharth Nagar Worli, Mumbai",35,26.7,30.7,65,21.1,10.8,271,1006.6,0
29-04-2022,90,35,21,19,,8,"Siddharth Nagar Worli, Mumbai",32.4,28.1,30,78,19.6,15.3,244,1008.6,0
30-04-2022,78,29,14,4,,7,"Siddharth Nagar Worli, Mumbai",32.2,26.3,29.2,78,20.9,11.4,234,1007.2,0
01-05-2022,69,35,15,19,,7,"Siddharth Nagar Worli, Mumbai",32,26.5,29.4,79,17.8,10.6,244,1006.2,0
02-05-2022,77,50,16,19,,7,"Siddharth Nagar Worli, Mumbai",31.8,28.3,29.9,76,20.5,11.9,245,1006.4,0
03-05-2022,101,55,17,19,,7,"Siddharth Nagar Worli, Mumbai",32.3,28,30,75,20.6,10.7,268,1007.1,0
04-05-2022,113,63,18,18,,7,"Siddharth Nagar Worli, Mumbai",31.9,27.3,29.3,77,22.9,11.3,295,1008.1,0
05-05-2022,137,95,8,19,,7,"Siddharth Nagar Worli, Mumbai",32.6,26.2,29,80,25.6,13.3,316,1008,0
06-05-2022,169,92,18,4,,9,"Siddharth Nagar Worli, Mumbai",32.4,26.6,29.1,78,25,13.6,317,1007.4,0.2
07-05-2022,168,56,9,22,,11,"Siddharth Nagar Worli, Mumbai",32.5,26.6,29.3,80,24.7,12.5,305,1006.8,0
08-05-2022,124,59,12,5,,9,"Siddharth Nagar Worli, Mumbai",32.7,26.7,29.7,80,30,12.8,307,1005,0
09-05-2022,97,39,4,19,,11,"Siddharth Nagar Worli, Mumbai",32.2,27.5,29.6,80,26,13.9,297,1004.1,0
10-05-2022,66,34,6,5,,9,"Siddharth Nagar Worli, Mumbai",32.2,28.4,29.9,75,26.2,14.6,296,1003.9,0
11-05-2022,78,50,13,18,,11,"Siddharth Nagar Worli, Mumbai",32,27.8,29.8,76,20.8,12.6,268,1003.7,0
12-05-2022,102,28,12,19,,10,"Siddharth Nagar Worli, Mumbai",32,28.7,29.9,72,19.4,16.2,250,1004.7,0
13-05-2022,67,29,8,19,,10,"Siddharth Nagar Worli, Mumbai",31.7,28.6,29.8,72,19.7,15.2,242,1004.5,0
14-05-2022,63,30,5,18,,10,"Siddharth Nagar Worli, Mumbai",31.9,28.5,29.8,72,18.2,13.6,247,1004.9,0
15-05-2022,66,36,26,18,,7,"Siddharth Nagar Worli, Mumbai",32.5,28.5,29.9,73,19.5,14.3,268,1006,0
16-05-2022,76,38,27,19,,5,"Siddharth Nagar Worli, Mumbai",32.2,27.9,29.7,74,24.8,13.6,291,1005.3,0
17-05-2022,82,56,15,19,,5,"Siddharth Nagar Worli, Mumbai",32,28.4,29.8,73,19.5,12.3,276,1004.5,0
18-05-2022,110,92,24,18,,5,"Siddharth Nagar Worli, Mumbai",31.7,27.7,29.5,73,22.8,11.8,281,1004.8,0
19-05-2022,156,104,12,17.63333333,,5,"Siddharth Nagar Worli, Mumbai",31.6,28,29.5,73,23.3,13.4,284,1005.2,0
20-05-2022,176,79,9,17.26666667,,4,"Siddharth Nagar Worli, Mumbai",31.6,28.2,29.6,69,20.3,15.5,248,1006.3,0.1
21-05-2022,158,50,8,16.9,,4,"Siddharth Nagar Worli, Mumbai",32,28.8,30.1,65,22.7,17.9,237,1006.1,0.1
22-05-2022,103,35,3,7,,3,"Siddharth Nagar Worli, Mumbai",32.3,29,30.2,67,23.5,22,246,1004.3,0.4
23-05-2022,76,40,8,7,,4,"Siddharth Nagar Worli, Mumbai",32.5,28.9,30.3,70,23.5,21.1,244,1003.5,0.9
24-05-2022,83,44,7,7,,4,"Siddharth Nagar Worli, Mumbai",32.1,28.6,30.2,70,23.4,18.4,256,1006.1,0.2
25-05-2022,92,50,7,7,,5,"Siddharth Nagar Worli, Mumbai",31.9,28,29.7,72,19.6,13.3,280,1008.3,1.2
26-05-2022,106,38,7,7,,4,"Siddharth Nagar Worli, Mumbai",32,28.3,30,67,19.5,13.9,266,1008.1,0
27-05-2022,80,32,8,7,,5,"Siddharth Nagar Worli, Mumbai",32.8,28.7,30.4,62,20.6,16.2,255,1007.8,0
28-05-2022,70,37,4,7,,4,"Siddharth Nagar Worli, Mumbai",32.7,28.9,30.5,61,20.8,17,255,1006.8,0
29-05-2022,77,48,8,7,,4,"Siddharth Nagar Worli, Mumbai",32.6,29.2,30.5,62,21.6,17.1,259,1006.9,0
30-05-2022,99,51,4,7,,4,"Siddharth Nagar Worli, Mumbai",32.3,28.7,30.2,64,20.6,15.3,267,1006.6,0
31-05-2022,107,53,9,7,,4,"Siddharth Nagar Worli, Mumbai",32.5,28.5,30,67,22.4,15.1,280,1005.9,0
01-06-2022,112,59,10,4,,4,"Siddharth Nagar Worli, Mumbai",32,28.5,29.8,68,23,14.5,283,1006.1,0
02-06-2022,127,61,5,4,,4,"Siddharth Nagar Worli, Mumbai",31.8,28.2,29.7,70,22.7,14.2,278,1006.3,0
03-06-2022,133,48,7,4,,5,"Siddharth Nagar Worli, Mumbai",31.4,28,29.4,72,21.6,14.7,282,1006,0
04-06-2022,99,38,10,4,,5,"Siddharth Nagar Worli, Mumbai",32,27.9,29.7,72,20.5,13.9,288,1005.6,0
05-06-2022,83,39,9,4,,5,"Siddharth Nagar Worli, Mumbai",31.8,27.8,29.6,73,21.6,11.5,279,1005.4,0
06-06-2022,83,34,9,4,,5,"Siddharth Nagar Worli, Mumbai",31.5,28.2,29.7,71,20.1,11.6,255,1005.9,0.2
07-06-2022,76,18,9,4,,5,"Siddharth Nagar Worli, Mumbai",32.1,28.5,29.8,73,20,11.2,240,1006.1,0.4
08-06-2022,47,17,10,4,,6,"Siddharth Nagar Worli, Mumbai",31.2,27.5,29.3,79,18.8,14.1,240,1005.9,2.3
09-06-2022,43,27,4,4,,6,"Siddharth Nagar Worli, Mumbai",30.5,27.1,28.7,80,18.1,11.8,237,1004.8,15.1
10-06-2022,58,14,3,4,,6,"Siddharth Nagar Worli, Mumbai",30.4,26.9,28.1,82,20.9,14,200,1004.7,10.9
11-06-2022,36,9,5,4,,7,"Siddharth Nagar Worli, Mumbai",29.5,25.9,27.3,83,25.8,18.2,201,1005.3,22.6
12-06-2022,26,23,3,4,,6,"Siddharth Nagar Worli, Mumbai",28.4,25.9,26.8,85,27.7,19.3,189,1005.3,12
13-06-2022,55,35,6,4,,6,"Siddharth Nagar Worli, Mumbai",29.5,25.5,27.7,82,28.3,22.1,190,1006.4,7.4
14-06-2022,78,34,7,4,,7,"Siddharth Nagar Worli, Mumbai",30.2,25.6,28.3,80,24.8,20.3,200,1006.6,2.7
15-06-2022,75,32,3,4,,6,"Siddharth Nagar Worli, Mumbai",29.9,26.4,28.4,79,23.1,17.2,223,1006,3.5
16-06-2022,70,34,7,4,,7,"Siddharth Nagar Worli, Mumbai",30,26.2,28.1,81,23.7,15.9,208,1005.7,4.5
17-06-2022,74,28,2,7,,7,"Siddharth Nagar Worli, Mumbai",29.6,26.3,28,82,21.6,16.7,208,1005.1,3.1
18-06-2022,67,17,3,8,,8,"Siddharth Nagar Worli, Mumbai",29.8,26.6,28.4,80,24.3,18.1,205,1005.2,6.1
19-06-2022,44,14,3,3,,8,"Siddharth Nagar Worli, Mumbai",28.6,25.8,27.2,85,24.5,19.6,211,1005.7,28
20-06-2022,39,26,3,4,,8,"Siddharth Nagar Worli, Mumbai",26.7,25.8,26.3,90,21.8,16.7,226,1004.8,50.7
21-06-2022,54,35,4,7,,7,"Siddharth Nagar Worli, Mumbai",27.8,24.9,26.3,88,23.7,17.6,202,1002.7,29.4
22-06-2022,65,29,10,4,,9,"Siddharth Nagar Worli, Mumbai",29,25.1,26.7,87,22.2,15.6,184,1003.8,22.4
23-06-2022,59,30,5,10,,9,"Siddharth Nagar Worli, Mumbai",28.3,24.9,26.6,87,14,10.3,166,1004.9,27.8
24-06-2022,68,15,8,3,,9,"Siddharth Nagar Worli, Mumbai",29.7,25.8,27,86,24.9,15.6,155,1003.1,17.7
25-06-2022,38,21,4,4,,8,"Siddharth Nagar Worli, Mumbai",28.9,25.7,26.8,87,25.3,19.6,146,1000.3,14.4
26-06-2022,54,27,6,6,,9,"Siddharth Nagar Worli, Mumbai",28,25.7,26.4,88,31.3,24.2,161,1000.5,16.6
27-06-2022,64,31,8,8,,10,"Siddharth Nagar Worli, Mumbai",28.3,25.8,26.6,88,24.7,20.7,201,1003.1,35.9
28-06-2022,68,93,8,3,,6,"Siddharth Nagar Worli, Mumbai",28.2,25.8,26.6,87,21.5,17.9,203,1004.6,10
29-06-2022,126,22,4,5,,3,"Siddharth Nagar Worli, Mumbai",28.2,25.9,26.9,87,23.2,17.2,217,1003.5,15.6
30-06-2022,49,34,5,7,,4,"Siddharth Nagar Worli, Mumbai",27.7,25.3,26.3,89,20.9,16,220,1003.4,46.5
01-07-2022,78,68,8,1,,3,"Siddharth Nagar Worli, Mumbai",26.5,24.9,25.9,91,21.2,16.8,222,1004,63.3
02-07-2022,143,62,9,1,,4,"Siddharth Nagar Worli, Mumbai",27.8,25.3,26.3,89,23.3,17.6,231,1002.7,27.3
03-07-2022,137,49,10,1,,4,"Siddharth Nagar Worli, Mumbai",27.6,25.1,26.4,88,25.1,19.3,215,1002.4,21.2
04-07-2022,108,48,5,1,,4,"Siddharth Nagar Worli, Mumbai",27.2,25.4,26.2,89,23.8,18.3,226,1002.3,38.7
05-07-2022,106,49,10,4,,3,"Siddharth Nagar Worli, Mumbai",26.6,25.6,26.2,90,25,20.4,244,1001,49.4
06-07-2022,108,56,10,4,,4,"Siddharth Nagar Worli, Mumbai",27.1,25.4,26.1,90,24.1,20.5,223,1002.3,40.8
07-07-2022,126,49,12,1,,4,"Siddharth Nagar Worli, Mumbai",27.4,25.9,26.5,88,26.8,22.4,247,1005.2,39.8
08-07-2022,107,44,13,3,,5,"Siddharth Nagar Worli, Mumbai",28.7,25.8,26.8,86,28.5,22.9,264,1004.7,23.5
09-07-2022,92,44,14,3,,6,"Siddharth Nagar Worli, Mumbai",27.3,24.1,25.7,90,27.7,20.2,263,1003.4,43
10-07-2022,89,46,14,3,,6,"Siddharth Nagar Worli, Mumbai",26.7,24.2,25.6,90,24.5,19.1,269,1004.4,42.8
11-07-2022,97,29,7,3,,8,"Siddharth Nagar Worli, Mumbai",25.9,24.1,25,91,28.1,20.5,270,1005.9,86.9
12-07-2022,61,34,10.5,3.5,,7.5,"Siddharth Nagar Worli, Mumbai",25.9,24.4,25.1,91,25.9,20.6,269,1005.5,68.5
13-07-2022,68,39,14,4,,7,"Siddharth Nagar Worli, Mumbai",26.1,24.5,25.5,90,35,26.5,262,1002.1,69.7
14-07-2022,75,50,8,4,,6,"Siddharth Nagar Worli, Mumbai",26.2,25,25.8,90,35.7,29.8,238,999.3,58.9
15-07-2022,110,53,14,5,,1,"Siddharth Nagar Worli, Mumbai",28.2,25.8,26.7,85,40.4,34.2,230,999.6,23.3
16-07-2022,117,41,10,14,,2,"Siddharth Nagar Worli, Mumbai",27.9,25.8,26.7,86,35.4,30,228,1001,26.5
17-07-2022,93,37,6,5,,1,"Siddharth Nagar Worli, Mumbai",28.5,26,27.1,84,26.9,21.3,236,1004,15.8
18-07-2022,81,41,7,5,,2,"Siddharth Nagar Worli, Mumbai",26.3,24.2,25.6,90,21.6,17.5,243,1005.1,31.2
19-07-2022,87,28,13,16,,2,"Siddharth Nagar Worli, Mumbai",26.3,24.4,25.6,90,22.4,16.5,243,1005.8,32
20-07-2022,66,25,9,12,,2,"Siddharth Nagar Worli, Mumbai",27.7,25.4,26.4,86,19.1,15.5,243,1006.6,12.2
21-07-2022,62,37,14,3,,3,"Siddharth Nagar Worli, Mumbai",27.7,25.5,26.6,84,20.4,13.7,249,1006.9,6.5
22-07-2022,84,30,14,3,,5,"Siddharth Nagar Worli, Mumbai",29,25.4,27.1,82,21.9,13.4,268,1007.4,4.1
23-07-2022,69,23,6,2,,5,"Siddharth Nagar Worli, Mumbai",26.8,25.2,26,87,19.5,15.8,256,1005.7,27.7
24-07-2022,59,24,6,4,,6,"Siddharth Nagar Worli, Mumbai",26.5,25.3,25.7,89,22.7,16.5,240,1005,22
25-07-2022,60,24,6,6,,5,"Siddharth Nagar Worli, Mumbai",28,25.2,26.5,85,20,15.4,228,1006.3,10.2
26-07-2022,62,23,10,11,,6,"Siddharth Nagar Worli, Mumbai",27.2,25.7,26.5,85,17.3,12.1,226,1008.1,5.5
27-07-2022,57,36,5,2,,6,"Siddharth Nagar Worli, Mumbai",28.2,25.3,26.5,86,14,6.3,247,1008,6.4
28-07-2022,80,31,9,4,,6,"Siddharth Nagar Worli, Mumbai",28.8,25.2,27.2,86,17.5,7.6,307,1008.7,1.4
29-07-2022,69,25,9,3.666666667,,5,"Siddharth Nagar Worli, Mumbai",29.2,25.6,27.5,86,18.1,10,328,1008.2,2.4
30-07-2022,58,16,5,3.333333333,,5,"Siddharth Nagar Worli, Mumbai",29.1,26.5,27.7,83,17.9,10.2,306,1007.3,1.4
